Group,Text,Highlighted
Conductor Stranded ,"Bonding Conductor: no 4 or no 6 AWG, stranded conductor.",1
,"7. 
All sensors shall have field programmable adjustments for selecting 
operational modes, occupancy time delays, and minimum on time.",0
,"1. Power and Lighting Equipment or System with Capacity of 500 kVA and less:  10 ohms. 
2. Power and Lighting Equipment or System with Capacity of 500 to 1000 kVA:  5 ohms. 
3. Power and Lighting Equipment or System with Capacity More Than 1000 kVA:  3 ohms. 
4. Power Distribution Units or Panelboards Serving Electronic Equipment:  1 ohm(s).",0
Conductor Stranded,"Larger than number 10, stranded ASTM Class B.",1
Switchgear Manufacturer,"Use standard manufactured products of Square D/Schneider Electric, General Electric or Eaton/Cutler-Hammer. Components of the panelboards shall be intersection",1
,"D. 
Where weight applied to building attachment points exceeds 300 pounds, coordinate with and 
obtain the approval of Architect and conform to the following as a minimum:",0
Conductor Stranded ,"Bonding Conductor: No. 4 or No. sixer AWG, stranded conductor.",1
,High-Rise Fire Alarm System– 26 72 10,0
,"7. 
Lugs:  Mechanical type, suitable for number, size, and conductor material.",0
Conduit PVC,d. premature ventricular contraction jacketed cable is permitted only for embedded garage lighting circuits.,1
,"C. 
Upon completion of installation, conduct a second test of combined engine-generator 
unit at job site. Test combined unit for a period of 4 hours while carrying full KW 
load at unity power factor.  Provide at no additional cost to Owner, all necessary 
instruments, materials, equipment, and personnel required for conducting test.  Test 
equipment and materials shall include but not be limited to dummy load banks.  
Instruments shall include voltmeter and ammeter.  Schedule test with Owner 
minimum of one week in advance, and perform in his presence.  Factory 
representative of generator set manufacturer shall be present for test. Submit test 
results for approval.",0
Conductor Solid/ Stranded,"Conductors: Install solid conductor for No. eighter AWG and smaller, and stranded conductors for No. 6 AWG and larger unless otherwise indicated.",1
Conduit,conduit,1
,"b. 
Power Contacts: Totally enclosed, double break, and silver-cadmium oxide; 
assembled to allow inspection and replacement without disturbing line or load 
wiring.",0
,"B. 
Aluminum Alloy Conductors: 
1. 
General: The contractor may, at his option, substitute aluminum alloy  
conductors in trade sizes No. 6 AWG to 750 kcmil, inclusive, in lieu of  
copper conductors for use in distribution feeders supplying switchboards, 
motor control centers, transformers, distribution panelboards, and branch 
panelboards only. Aluminum conductors shall not be used for any",0
Conduit,thousand install in conduit,1
,"B. 
Connect wiring according to the contract document requirements for Low-Voltage Electrical 
Power Conductors and Cables.",0
,"3.1 
WIRING METHODS",0
,"12. 
Equipment: a general term including materials, fittings, devices, appliances, fixtures, 
apparatus, and the like, used as part of, or in connection with, an electrical installation 
(OSHA Section 29 CFR 1910.399(46) definition)",0
,"DIVISION 10 – FINISHES 
 
101423.16 Room-Identification Panel Signage 
102800 
Toilet and Bath Accessories",0
,"E. 
System wiring:  Fire alarm circuits shall be tested for continuity, grounds, and short 
circuits.",0
Conduit,b. Galvanized rigid brand conduit with U.L. listed concrete-tight fittings.,1
,"G. 
Use joint compound on threaded joints for exterior runs of rigid steel conduit; red 
lead or ""Alcoa thread lubricant"".",0
,"A. 
Occupancy Adjustments: When requested within 12 months from date of Substantial 
Completion, provide on-site assistance in adjusting lighting control devices to suit actual 
occupied conditions. Provide up to two visits to Project during other-than-normal occupancy 
hours for this purpose.",0
,"6. 
U.L. rated for cable tray and environmental air handling space installation.",0
Receptacle,"Standard-grade receptacles, V, 20 A.",1
,"1. 
Building wires and cables rated 600 V and less.",0
,"3. 
To Masonry: Approved toggle-type bolts on hollow masonry units and expansion anchor 
fasteners on solid masonry units.",0
,"3. 
18-foot (6-m) cable with cable management system.",0
,"B. 
Complete raceway installation between conductor and cable termination points according to 
Section 260533 ""Raceways and Boxes for Electrical Systems"" prior to pulling conductors and 
cables.",0
,"A. 
Provide 10 percent (minimum of 3) spare power and control fuses of each type and rating 
utilized.",0
Conductor Solid/ Stranded,"Conductors: Copper. Two, three, or four conductors, minimum size no 12 AWG. Use solid conductors for wire up through no 10 AWG; stranded conductors for wire larger than no 10 AWG.",1
Switchgear Manufacturer,"The basis of design is Siemens. Square D and Cutler Hammer / Eaton are acceptable manufacturers providing they meet all the specifications and space allocations indicated on the drawings. Any revision, modification, variety alteration required as a result of using a",1
,"penetrate building foundations, extend steel conduit horizontally a minimum of 
60 inches from edge of foundation or equipment base.  Install insulated grounding 
bushings on terminations at equipment.",0
,"3. 
Key latch to match panelboards.",0
Conduit,flexible Conduit:,1
Conductor specifications,Compact stranded conductors single AWG through 1000 MCM marked as XHHW-2 and shall be made of an AA-8000 series electrical-grade aluminum alloy conductor material fabricated in accordance with ASTM and ICEA standards.,1
,"A. 
Insulated Conductors:  Copper wire or cable insulated for 600 V unless otherwise required by 
applicable Code or authorities having jurisdiction.",0
Conduit PVC,docket 40,1
,"1. 
600V minimum insulating rating.",0
,"C. 
Neatly arrange wiring and tie together in each gutter with Thomas & Betts nylon Ty-Raps or 
equal at minimum 4-inch intervals.",0
,"3. 
CRI of minimum 80. CCT of 3500K.",0
Conduit,"Conceal cables in finished walls, ceilings, and storey unless otherwise indicated",1
,SECTION 260519 - LOW-VOLTAGE ELECTRICAL POWER CONDUCTORS AND CABLES,0
Conduit EMT Type of Metal,Exposed and matter to Severe Physical Damage: IMC.,1
,"G. 
Arrangement of Devices: Unless otherwise indicated, mount flush, with long dimension vertical 
and with grounding terminal of receptacles on top. Group adjacent switches under single, 
multigang wall plates.",0
Conduit EMT,"out of sight Conduit, Aboveground: EMT.",1
,"6. 
Conduit connected to rotating or vibrating equipment shall be flexible metal conduit or 
liquid-tight flexible conduit.",0
,"1. 
Standard-grade receptacles, 125 V, 20 A.",0
,"6. 
Generator set:  capable of start-up and accepting rated load within 10 seconds.",0
,B. Source Limitations:  Obtain each type of wiring device and associated wall plate from single source,0
,"b. 
Panelboard overcurrent protective device interrupting ratings shall 
be fully rated for the maximum available fault current and have a 
UL Listed interrupting rating of 300kA.",0
Switchgear Manufacturer,1. Eaton. 2. General Electric Company; GE Energy Management - electric Distribution. 3. Square D; by Schneider Electric.,1
Conductor specifications,Aluminum director are prohibited.,1
Switchgear Manufacturer,1. Eaton. 2. cosmopolitan Electric Company; GE Energy Management - Electrical Distribution.,1
,"C. 
Isolated Ground Receptacles:",0
Conduit PVC,Concrete Encased Ductbank: Schedule 40 PVC,1
,"K. 
Install exterior underground conduits 24 inches minimum below finished grade.  Do not 
penetrate waterproof membranes unless proper seal is provided.",0
Conductor specifications,aluminum conductors are prohibited.,1
Conduit PVC,d. PVC jacketed cable is permitted only for implant garage lighting circuits.,1
,"9. 
Include wiring diagrams for power, signal, and control wiring.",0
,"2. 
Control Power Fuses: Equal to 10 percent of quantity installed for each size and type, but 
no fewer than two of each size and type.",0
,"A. 
Install insulated equipment grounding conductors with all feeders and branch circuits.",0
,"3. 
Flexible Conduit: Use only fittings listed for use with flexible conduit. Comply with 
NEMA FB 2.20.",0
Conduit PVC,"expansion Fittings: PVC or steel to match conduit type, complying with UL 651, rated for environmental conditions where installed, and including flexible external bonding jumper.",1
Conduit EMT Type of Metal,EMT:,1
Switchgear Manufacturer,"1. Eaton electric Inc.; Cutler-Hammer Business Unit 2. General Electric Company; GE Consumer & Industrial - electric Distribution. 3. Siemens Energy & Automation, Inc. 4. Square D; a brand of Schneider Electric.",1
Conductor specifications,"Multiconductor Armored Cable: NFPA 70, Type MC, copper conductors, Type TFN/THHN conductor insulation, copper drain wire, copper armor with taboo jacket with red identifier stripe, NTRL listed for fire-alarm and cable tray installation, plenum rated.",1
Feeder Conductor,Feeders: Solid for No. x AWG and smaller; stranded for No. 8 AWG and larger,1
Switchgear Manufacturer,"shall be suited for use as service equipment. Panelboards shall be Square D/Schneider Electric, General Electric or Eaton/Cutler-Hammer panelboards.",1
,"10 2114 
Plastic Toilet Compartments",0
,FMC:  Comply with UL 1; zinc-coated steel.,0
Fire Alarm Conductors,Power-Limited Fire Alarm and Control: Solid for ordinal 12 AWG and smaller.,1
,"4. 
Wire and cable",0
MC Cable,apply of MC cable is not acceptable.,1
,"5. 
EMT: Comply with ANSI C80.3 and UL 797.",0
,"mechanical equipment feeder or branch circuit connections.  Aluminum 
conductors shall have equal or greater ampacities to that of the copper 
conductors shown on the plans.",0
,"2. 
Compact stranded conductors 1 AWG through 1000 MCM marked as XHHW-2 and shall 
be made of an AA-8000 series electrical-grade aluminum alloy conductor material 
fabricated in accordance with ASTM and ICEA standards.",0
Conduit EMT Connectors,accommodation for EMT,1
,"3. 
Low-voltage compartment shall be physically separated from two line voltage wiring 
areas by steel barriers.",0
Conduit,offer empty conduit and outlets for telecom system as indicated.,1
,"1. 
Switchgear and switchboard bus.",0
Conduit EMT Connectors,try on for EMT,1
,"4. 
Existing Conductors:",0
,receptacles to the right.,0
Conductor specifications,Compact stranded conductors 1 AWG through 1000 MCM marked as XHHW-2 and shall be made of an AA-8000 series electrical-grade aluminum alloy conductor fabric fabricated in accordance with ASTM and ICEA standards.,1
,"J. 
NRTL Label: Panelboards or load centers shall be labeled by an NRTL acceptable to authority 
having jurisdiction for use as service equipment with one or more main service disconnecting 
and overcurrent protective devices. Panelboards or load centers shall have meter enclosures, 
wiring, connections, and other provisions for utility metering. Coordinate with utility company 
for exact requirements.",0
Conduit EMT Type of Metal,EMT:,1
Conduit,"g q p ( g y , , Electric Solenoid, or Motor-Driven Equipment): FMC, except use LFMC in dampness or wet locations.",1
,"2. Neutral Kit (as indicated on contract drawings):  Internally mounted; insulated, capable 
of being grounded and bonded; labeled for copper and aluminum neutral conductors.",0
Conduit,gibibyte install in conduit,1
Conductor specifications,Tool applied: Compression typewrite,1
Switchgear Manufacturer,"1. Eaton Electrical Inc.; Cutler-Hammer Business Unit. 2. ecumenical Electric Company; GE Consumer & Industrial - Electrical Distribution. 3. Siemens Energy & Automation, Inc. 4. Square D; a brand of Schneider Electric.",1
,"J. 
Run exposed raceway parallel to building lines making turns with approved conduit 
fittings, manufactured ells, concentric field bends or pull boxes.  Use oversize 
conduit fittings for control cables and other runs where required.",0
,"Prince George’s County Police Department 
 
262726 - WIRING DEVICES",0
Switchgear Manufacturer,1. Eaton. 2. General Electric Company; GE Energy Management - Electrical Distribution. 3. square toes D; by Schneider Electric.,1
,"22. 
Use a conduit bushing or insulated fitting to terminate stub-ups not terminated in hubs or in 
an enclosure.",0
,"1. 
Use in dry locations concealed above suspended ceilings or within hollow partitions for 
lighting and receptacle branch circuits.",0
Conductor specifications,"conductors in trade sizes ordinal 6 AWG to 750 kcmil, inclusive, in lieu of copper conductors for use in distribution feeders supplying switchboards, motor control centers, transformers, distribution panelboards, and branch panelboards only. Aluminum conductors shall not be used for any",1
,"4. 
Include diagrams for power, signal, and control wiring.",0
Conduit PVC,schedule 40,1
Conductor specifications,Minimum size of branch circuit wire: No. dozen AWG,1
,"G. 
Customer Metering Compartment:  A separate customer metering compartment and section 
with front hinged door, for indicated metering, and current transformers for each meter.  Current 
transformer secondary wiring shall be terminated on shorting-type terminal blocks.  Include 
potential transformers having primary and secondary fuses with disconnecting means and 
secondary wiring terminated on terminal blocks.",0
Conductor Solid/ Stranded,2. Conductors: Copper. Minimum size No. dozen AWG. Use solid conductors for wire up through No. 10 AWG; stranded conductors for wire larger than No. 10 AWG.,1
Switchgear Manufacturer,"1. Eaton electric Inc.; Cutler-Hammer Products. 2. General Electric Company. 3. Siemens Energy & Automation, Inc.",1
,"3. 
Verify adequacy of phase conductors at maximum three-phase bolted fault currents; 
verify adequacy of equipment grounding conductors and grounding electrode conductors 
at maximum ground-fault currents.  Ensure that short-circuit withstand ratings are equal 
to or higher than calculated 1/2-cycle symmetrical fault current.",0
,"1) 
Inspect for physical damage, cracked insulation, broken leads, tightness of 
connections, defective wiring, and overall general condition.",0
Conduit,Conductors in underfloor electrical systems shall be telephone number 10 AWG minimum,1
,"26 24 16 
PANELBOARDS",0
,Complete raceway installation before starting conductor installation.,0
Feeder Conductor,Feeders: Copper; solid for No. ten AWG and smaller; stranded for No. 8 AWG and larger.,1
Conductor Stranded,stranded conductors for control circuits except as otherwise take down,1
,"1. 
Same as flexible steel conduit except with tough, inert, watertight plastic outer jacket.",0
,"1. Equipment Ground Kit:  Internally mounted and labeled for copper and aluminum 
ground conductors.",0
,Page 8,0
Conductor specifications,aluminum conductors: a. Prohibited.,1
,"11. 
Damp or Wet Locations:  IMC.",0
,"B. 
Type UL listed, MI (mineral insulated) heating cable:  Resistance type wire 
insulated with compressed magnesium oxide, with a copper or stainless steel sheath 
overall.  Form and install cable in field.  Capacity and length as indicated.  Cable:  
One or two conductor type; Pyrotenax USA, Trasor Corporation, or Nuheat.  Heater 
units shall consist of heating section of specified lengths, jointed to cold section of 
required length to connect to junction boxes or remote thermostats located as 
indicated.  Provide polyethylene, PVC, or nylon protective jacket on cable.",0
,"H. 
Mount typewritten schedule of all feeder and branch circuits, with legend approved 
by Architect, in frame on inside of each panel cabinet door under plastic.  Schedules 
shall be completed prior to substantial completion.",0
,"1. 
Minimum Width: 3/16 inch.",0
Conductor Solid/ Stranded,"Conductors: Install solid conductor for No. 8 AWG and smaller, and stranded conductors for No. 6 AWG and with child unless otherwise indicated.",1
,"D. 
Manufacturer shall provide a minimum of (12) hours of training for Owner by 
Field Engineer.  Training shall include education on operation, maintenance, and 
programming of all system components, and shall be scheduled as directed by 
Owner.",0
Conduit PVC,Embedded in concrete Slab: Schedule 40 PVC or galvanized rigid steel conduit with U.L. listed concrete-tight fittings.,1
Conduit,"6. Connections to vibrating equipment, including transformers and motors, in juiceless location: Flexible metallic conduit.",1
,2. General Electric Company; GE Consumer & Industrial - Electrical Distribution.,0
Conductor Stranded,marooned conductors for control circuits except as otherwise noted,1
Conductor specifications,Homeruns greater than 80 feet in length for 120 volt branch circuits shall be minimum ordinal number 10 AWG. Homeruns greater than 125 feet in length for 120 volt branch circuits shall be minimum ordinal number 8 AWG. Homeruns greater than 150 feet in length for 277 volt branch circuits shall be minimum ordinal number 10 AWG.,1
,"4. 
Drive ground rods to a minimum depth of ten feet, or more if necessary to 
reach permanent moisture.  Ground rods shall be driven at least two feet 
away from the footing and top of rod 24"" minimum below grade.",0
,"A. 
Provide complete shop drawings and such other descriptive data as may be required 
to demonstrate compliance with Contract Documents.  Shop drawings shall include 
drawings, details, and instructions necessary for installation of engine-generator unit, 
associated equipment, piping, wiring and devices.  Shop drawings shall be submitted 
for following items at one time in order to demonstrate that these items of equipment 
have been properly coordinated and will function properly with each other.   
1. 
Engine-generator set complete with base and all attachments.",0
Fire Alarm Conductors,Power-Limited Fire Alarm and Control: Solid for no 12 AWG and smaller.,1
Conduit,"Conceal cables in finished walls, ceilings, and storey unless otherwise indicated",1
,"3. 
Isolated Ground Kit: Internally mounted; insulated, labeled for copper and aluminum 
neutral conductors.",0
Conduit EMT Connectors,"Concealed Below Raised Access Flooring: EMT with set-screw type fittings, except computer and data process equipment applications use liquidtight flexible metal conduit.",1
Conductor specifications,Tool applied: condensation type,1
Conduit PVC,d. PVC jacketed cable is permitted only for embedded service department lighting circuits.,1
,"A. 
Factory wired and assembled, integrally mounted generator control and engine 
instrument panel. Panel and components; applicable ANSI Standards for this class of 
equipment fully enclosed of dead-front type.  To support EPA emission requirements, 
gensets larger than 80 kW will incorporate an active air-fuel-ratio controller.  The air-
fuel-ratio controller shall be integrated into the generator controller to ensure security 
of settings and to support monitoring and remote diagnostics.  External air-fuel-ratio 
controllers are not acceptable. Mount panel on generator frame with vibration isolating 
mountings.  Panel shall include following: 
1. 
Genset Controller: 
a. 
The generator control system shall be a fully integrated 
microprocessor based control system for standby emergency engine 
generators meeting all requirements of NFPA 110 level 1. 
The generator control system shall be a fully integrated control 
system.   The generator controller shall provide integrated and 
digital control over all generator functions including:  engine 
protection, alternator protection, speed governing, voltage 
regulation, synchronizing, load-sharing (real and reactive) and all 
related generator operations.",0
,"4. 
Main and Neutral Lugs: Mechanical type, with a lug on the neutral bar for each pole in 
the panelboard.",0
,"28 0513  
Conductors and Cables for Electronic Safety and Security",0
,"4. 
Solid metal:  Machine screws in tapped holes or with welded studs.",0
,"B. 
Riser diagram showing lighting relay cabinets, control devices, PC interface equipment, and 
interconnecting conduit and wire.",0
Conduit EMT,"out of sight Conduit, Aboveground: EMT.",1
Receptacle,Receptacles shall be commercial specification range,1
,"B. 
Provide a typewritten directory card indicating load served by type and location for each branch 
circuit in each branch panelboard.  Mount directory in frame on inside of branch panelboard 
door. Directory shall be provided after substantial completion of construction to minimize hand 
written additions and modifications.",0
Switchgear Manufacturer,"1. Eaton Electrical Inc.; Cutler-Hammer business concern Unit. 2. General Electric Company; GE Consumer & Industrial - Electrical Distribution. 3. Siemens Energy & Automation, Inc. 4. Square D; a brand of Schneider Electric.",1
,"3. 
Rated Power @ .8 PF.",0
Conduit,k install in conduit,1
Receptacle,"STANDARD-GRADE RECEPTACLES, 125 V, A",1
,"1. 
Distribution panelboards.",0
Conductor specifications,Aluminum music director are prohibited.,1
Switchgear Manufacturer,"1. Eaton Electrical Inc.; Cutler-Hammer Business Unit. 2. General Electric Company; GE Consumer & industrial - Electrical Distribution. 3. Siemens Energy & Automation, Inc. 4. Square D; a brand of Schneider Electric.",1
,"1. 
Cast iron box, multiple gang, 2-inch shallow depth, brass carpet flange and 
coverplates in amenity areas. Coordinate conduit requirements with Low Voltage 
drawings.  Provide (1) ¾” conduit for power.",0
,"VARIABLE-FREQUENCY MOTOR CONTROLLERS  
26 29 23 - 12",0
Conduit,pliable Conduit:,1
Conductor Solid/ Stranded ,"Branch Circuits: Solid for No. 10 AWG and smaller; stranded for No. 8 AWG and larger, except VFC cable, which shall be supernumerary flexible stranded.",1
,"c. 
Combination Sensor: Unless otherwise indicated, sensor shall be programmed to 
turn lights on when coverage area is occupied and turn them off when unoccupied, 
or to turn off lights that have been manually turned on; with a time delay for turning 
lights off, adjustable over a minimum range of 1 to 15 minutes.",0
,"A. 
Where located in a switchboard, the manufacturer shall bus connect the TVSS in parallel to the 
power source.  Where located in a meter/breaker panel, connect to a circuit breaker, keeping 
conductor length as short as practically possible.",0
,"Install removable hardware, including pulling eyes, cable stanchions, cable arms, and insulators, as 
required for installation and support of cables and conductors and as indicated.  Select arm lengths to be 
long enough to provide spare space for future cables but short enough to preserve adequate working 
clearances in enclosure.",0
,"D. 
Section Includes 
1. Bi-directional amplifiers (BDA's) 
2. Distributed Antenna System 
3. Coaxial cables 
4. Splitters and direction couplers 
5. UPS 
6. All other equipment and components necessary for a complete and functioning",0
Conductor specifications,Minimum sizing of branch circuit wire: No. 12 AWG,1
Receptacle,"STANDARD-GRADE RECEPTACLES, 125 V, twenty A",1
Conductor specifications ,"Use pulling means, including pisces tape, cable, rope, and basket-weave wire/cable grips that will not damage cables or raceway.",1
Feeder Conductor,Feeders: Copper; solid for no 10 AWG and smaller; stranded for no 8 AWG and larger.,1
,"2. 
All conductors shall be minimum #12 AWG copper unless indicated or 
specified otherwise.",0
,Page 12,0
,"E. Connect wiring according to Section 260519 ""Low-Voltage Electrical Power Conductors and",0
Conductor specifications,"Line-Voltage Circuits: No. 12 AWG, minimum, in pathway",1
Conduit EMT Connectors,"Concealed Below Raised Access Flooring: EMT with set-screw type 
fittings, except computer and data processing equipment applications use
liquidtight flexible metal conduit.",1
,"2. 
A barrier separating branch circuits from control wiring.",0
Conductor EMT  ,Fittings for EMT: a. Material: Steel. b. Type: compaction,1
Conduit,"utilise EMT, IMC, or RMC, ENT and PVC for raceways.",1
,1. Interconnect ground rods with grounding electrode conductor below grade and as,0
,"4. 
Type MI cable shall comply with NEC Article 330 and all other applicable 
provisions and other Articles of NEC. It shall be classified by Underwriters 
Laboratories as having a 2-hour fire resistive rating.",0
,"8. 
Enclosed controllers",0
,"C. 
The photovoltaic module power output shall be covered by the photovoltaic manufacturer’s 
warranty for a minimum of 20 years, and the module workmanship shall be covered for a 
minimum of 10 years. These warrantees shall be passed through the supplier to the customer.",0
Conduit EMT Connectors,Exposed or Concealed mute Locations: EMT with set-screw type fittings.,1
Conductor Stranded,stranded conductors for control circuits except as otherwise noted,1
Conduit,"expend EMT, IMC, or RMC, ENT and PVC for raceways.",1
,"3.3 
INSTALLATION OF CONDUCTORS AND CABLES",0
Conductor specifications,"Low-Voltage Circuits: No. xvi AWG, minimum, in pathway.",1
Switchgear Manufacturer,"Use standard manufactured products of solid D/Schneider Electric, General Electric or Eaton/Cutler-Hammer. Components of the panelboards shall be product",1
,"2.1 
CONDUCTORS AND CABLES",0
,"f. 
NEMA 1 panelboards shall be field convertible for top or bottom 
incoming feed.",0
Conduit,g establish in conduit,1
Conductor Solid/ Stranded ,"Branch Circuits: Solid for No. 10 AWG and smaller; stranded for No. 8 AWG and larger, except VFC cable, which shall be spare flexible stranded.",1
Feeder Conductor,Aluminum conductors for feeders 100A and larger.,1
,"C. 
Where weight applied to building attachment points exceeds 100 pounds, but is 300 pounds or 
less, conform to the following as a minimum:",0
,"H. 
Insulation Class:  220 deg C, UL-component-recognized insulation system with a maximum of 
80 deg C rise above 40 deg C ambient temperature.",0
,"factor. If any acceptable manufacture, as listed above, is used, provide written substitution request a 
minimum of fifteen business days prior to bid. In the substitution request, provide an impact statement 
and information regarding schedule, cost, construction, coordination with other trades and any other 
factors useful in deciding for acceptance or rejection. If the basis of design or the acceptable 
manufactures are not selected, as listed above, is used, provide written substitution request a minimum 
of thirty business days prior to bid. In the substitution request, provide an impact statement and 
information regarding schedule, cost, construction, coordination with other trades and any other 
factors useful in deciding for acceptance or rejection. Submission of the substitution request does not 
guarantee acceptance. Reimburse engineer for costs associated with the review of the proposed 
substitution whether substitution is accepted or rejected. Refer to section 26 05 01 for further 
stipulations.",0
Conduit,"g q p ( g y , , Electric Solenoid, or Motor-Driven Equipment): FMC, except consumption LFMC in damp or wet locations.",1
,"E. 
Interrupting capacities shall be based on a fully rated protection system where all overcurrent 
protection devices are rated for the full prospective short circuit current (as indicated in the final 
short circuit submittal).  Series-rated panelboards are not permitted.",0
MC Cable ,Single runs of MC Cable or 3/4-inch raceways within partitions shall be supported and secured victimization Caddy fasteners listed for the use. Baling wire is prohibited.,1
,"C. 
Power-Circuit Conductor Identification, more than 600 V:  For conductors in, pull and junction 
boxes, use write-on tags.",0
Conduit EMT Connectors,Exposed or Concealed Damp Locations: EMT with set-screw typewrite fittings.,1
Conduit EMT Type of Metal,Exposed: IMC with U.L. name rain-tight fittings.,1
,"H. 
A minimum period of ten (10) working days, exclusive of transmittal time, will be required in the 
Architect/Engineer’s office each time a shop drawing, product data and/or samples are 
submitted for review.  This time period must be considered by the Contractor in the scheduling 
of the work.",0
,"6. 
Gutter Extension and Barrier: Same gage and finish as panelboard enclosure; integral 
with enclosure body. Arrange to isolate individual panel sections.",0
Switchgear Manufacturer,"shall be suited for use as service equipment. Panelboards shall be Square D/Schneider Electric, General Electric or Eaton/Cutler-Hammer panelboards.",1
Conduit PVC,PVC conduit is acceptable following encrypt requirements,1
,"4. 
Acceptable Manufacturers: Allied Tube & Conduit, Wheatland Tube Co., 
Superior Essex, Inc.",0
,"E. 
Conductors to Be Extended in the Future:  Attach write-on tags to conductors and list source.",0
,1/2 watt of incandescent light per square foot of area.,0
MC Cable,megahertz,1
Conduit PVC,Concrete Encased Ductbank: schedule 40 PVC,1
Conductor Solid,Number 12 and amount 10 shall be solid.,1
,"5. 
Switchgear, switchboard, motor-control center and panelboard designations.",0
,"2. 
Concrete and solid masonry:  Bolts and expansion shields.",0
,"10. 
UL 2200 Listing for generator set model number being provided",0
,12. Oscillograph chart recordings of voltage and frequency of generator set transient performance,0
Conduit PVC,d. PVC jacket cable is permitted only for embedded garage lighting circuits.,1
,"1. 
Section 262726 ""Wiring Devices"" for wall-box dimmers, non-networkable wall-switch 
occupancy sensors, and manual light switches.",0
,"C. 
Metal Clad Cable:",0
,"D. 
Certification that surge protection is installed on the electrical service with a minimum of 160-ka 
per phase surge capacity.",0
Feeder Conductor,Feeders: Copper; solid for No. 10 AWG and smaller; stranded for No. octet AWG and larger.,1
Conductor Solid/ Stranded,Minimum size of branch circuit wire: No. 12 AWG. Use solid music director for wire up through No. 10 AWG; stranded music director for wire larger than No. 10 AWG;,1
,"8. 
List of manufacturer and model number of lamps and ballasts actually 
installed in each light fixture type.",0
,"10. 
Sensor Switch, Inc.",0
Cable tray type,cable run and tray,1
Conduit EMT Connectors,"Exposed or Concealed Dry Locations: EMT with set-screw type fittings, take out where another wiring method is indicated or specified.",1
,"2. 
Complete descriptive material on main switch and feeder overcurrent devices 
with all related auxiliaries.",0
Conductor specifications,aluminium conductors: a. Prohibited.,1
,"G. 
Acceptable Manufacturers: Prysmian Cables and Systems (Pirelli Cable), Okonite 
Co., Service Wire Co., Superior Essex, General Cable (Alcan Cable), Southwire 
Co., Belden Wire & Cable.",0
Conductor specifications ,"Use pulling means, including pisces tape, cable, rope, and basket-weave wire/cable grips that will not damage cables or raceway.",1
Conductor EMT  ,Fittings for EMT: a. Material: Steel. b. Type: compression,1
,"C. 
Where conduit or equipment are mounted on a painted finished surface, or a surface to be 
painted, paint to match the surface.  Cold galvanize bare metal whenever support channels are 
cut.",0
Switchgear Manufacturer,"The basis of design is Siemens. Square D and Cutler Hammer / Eaton are acceptable manufacturers providing they meet all the spec and space allocations indicated on the drawings. Any revision, modification, change alteration required as a result of using a",1
Conductor specifications,Compact stranded conductors 1 AWG through 1000 MCM check as XHHW-2 and shall be made of an AA-8000 series electrical-grade aluminum alloy conductor material fabricated in accordance with ASTM and ICEA standards.,1
Conduit,conduit,1
Conductor specifications,"conductors in trade sizes No. 6 AWG to 750 kcmil, inclusive, in lieu of bull conductors for use in distribution feeders supplying switchboards, motor control centers, transformers, distribution panelboards, and branch panelboards only. Aluminum conductors shall not be used for any",1
Switchgear Manufacturer,"The basis of design is Siemens. Square D and Cutler Hammer / Eaton are satisfactory manufacturers providing they meet all the specifications and space allocations indicated on the drawings. Any revision, modification, change alteration required as a result of using a",1
,High-Rise Fire Alarm System– 26 72 10,0
,"E. 
Branch Circuits Concealed in Concrete, below Slabs-on-Grade, and Underground:  
Type THHN/THWN-2, single conductors in raceway.",0
Conduit EMT Connectors,"break or Concealed Dry Locations: EMT with set-screw type fittings, except where another wiring method is indicated or specified.",1
,"1. Metal Water Service Pipe:  Install insulated copper grounding conductors, in conduit,",0
Switchgear Manufacturer,1. Eaton. 2. General Electric Company; gaia Energy Management - Electrical Distribution.,1
Conduit EMT Type of Metal,"Use EMT, IMC, or RMC for raceway",1
,"D. 
Examine elements and surfaces to receive panelboards for compliance with installation 
tolerances and other conditions affecting performance of the Work.",0
,"D. 
Size conductors according to lighting control device manufacturer's written instructions unless 
otherwise indicated.",0
Conduit,"6. connecter to vibrating equipment, including transformers and motors, in dry location: Flexible metallic conduit.",1
,Page 10,0
Conductor specifications,lower limit #14 gauge,1
Conduit,"Liquidtight Flexible Metal Conduit: 
1. 
Connectors: U.L. standard 514; steel or malleable iron construction; zinc 
plated and chromate coated; nylon insulated throat; U.L. listed water-tight.",1
,"10. IEC61000 
11. UL508  
12. UL2200 
13. UL142",0
,"A. 
Connect various systems of feeder and branch circuits for power and lighting to 
panelboard busses in manner that connected loads will be balanced on all phases as 
closely as practicable.  Should there be any unfavorable condition of balance on 
any part of electrical systems, make changes required to remedy unbalanced 
condition.",0
,minimum.,0
,"LOW-VOLTAGE ELECTRICAL POWER CONDUCTORS AND CABLES 
26 05 19 - 1",0
Conduit EMT,Exposed or hold in Wet Locations: EMT with U.L. listed rain-tight fittings.,1
Conductor specifications,bull Conductors with THHN or XHHW-2 insulation,1
MC Cable/ Conduit,"Flexible Metallic Conduit, , MC Cable: 1. Connectors: U.L. standard 514; steel or malleable iron construction; zinc plate and chromate coated; nylon insulated throat; saddle or squeeze type.",1
,"8. 
Automatic Light-Level Sensor:  Adjustable from 2 to 200 fc; turn lights off when selected 
lighting level is present.",0
